scenario,n_port,lam_nm,eta_atm,eta_tel,eta_fore,eta_inj,eta_internal,qe,eta_sys
3-port,3,800.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,801.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,802.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,803.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,804.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,805.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,806.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,807.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,808.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,809.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,810.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,811.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,812.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,813.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,814.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,815.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,816.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,817.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,818.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
