scenario,n_port,t_total_s,snr_target,m_lim,eta_internal_bandavg,eta_sys_bandavg
3-port,3,60.0,5.0,19.2974820355038,0.7842526114198711,0.2332618227198351
3-port,3,300.0,5.0,20.17353166782689,0.7842526114198711,0.2332618227198351
3-port,3,900.0,5.0,20.77067648758967,0.7842526114198711,0.2332618227198351
3-port,3,3600.0,5.0,21.523759127165995,0.7842526114198711,0.2332618227198351
3-port,3,10000.0,5.0,22.078583241329365,0.7842526114198711,0.2332618227198351
7-port,7,60.0,5.0,19.33039737536039,0.8267047088003829,0.2458884349479155
7-port,7,300.0,5.0,20.206382089938785,0.8267047088003829,0.2458884349479155
7-port,7,900.0,5.0,20.803507576353937,0.8267047088003829,0.2458884349479155
7-port,7,3600.0,5.0,21.556577010985848,0.8267047088003829,0.2458884349479155
7-port,7,10000.0,5.0,22.111395885271772,0.8267047088003829,0.2458884349479155
19-port,19,60.0,5.0,19.34516617980749,0.8465195950763079,0.25178201620273644
19-port,19,300.0,5.0,20.221122348520154,0.8465195950763079,0.25178201620273644
19-port,19,900.0,5.0,20.81823931285313,0.8465195950763079,0.25178201620273644
19-port,19,3600.0,5.0,21.57130292678516,0.8465195950763079,0.25178201620273644
19-port,19,10000.0,5.0,22.126119490996658,0.8465195950763079,0.25178201620273644
